"Released","Genre","Casts","Duration","Country","Production","Title"
"2025-07-16","Western, Comedy, Thriller, Crime","Pedro Pascal, Joaquin Phoenix, William Sterchi, Deirdre O'Connell, Auburn Ashley","149 min","United States of America, Finland","A24, Square Peg, 828 Productions, Access Entertainment, IPR.VC","Eddington"
"2024-05-17","Crime, Action, Thriller, Comedy","Maisie Smith, Adam Deacon, Kwok One, Linda Robson, Frank Harper","99 min","United Kingdom","Kaleidoscope Home Entertainment","Bermondsey Tales: Fall of the Roman Empire"
"2025-07-04","Drama, Romance","Angelica Cervantes, Mhack Morales, Gab Evaristo, Jeselle De Guzman, Tonio Vasquez","103 min","Philippines","Vivamax","Obsesyon"
"2025-07-11","Horror, Fantasy, Action","Alan Maxson, Callum Woodhouse, Dean Fujioka, Lucky Moniaga, Alexandra Gottardo","83 min","Japan, Singapore, United Kingdom","Gorylah Pictures, SC Films International, Zhao Wei Films, Tigon Pictures, Yaman Films","Monster Island"
"2021-09-01","History, Romance, Comedy","Hana Laslo, Tsahi Halevi, Clara Khoury, Amir Khoury, Naama Preis","99 min","France, Israel","N/A","Laila in Haifa"
"2024-06-27","Action, Adventure, Drama, History","Jason Flemyng, Miriama Smith, Jack Barry, Taaroto Tuapiki, Isabella Te Aranae Gerlinde Hawkins","115 min","New Zealand, Australia","Transmission Films","In the Fire of War"
"2025-04-16","Horror, Science Fiction","Alexandra Masangkay, Óscar Casas, Loreto Mauleón, Luna Fulgencio, Aitor Luna","97 min","United States of America","N/A","Control Room"
"2025-07-23","Drama, Thriller, Horror","Fadi Alaydrus, Dion Wiyoko, Marissa Anita, Mima Shafa, Aida Nurmala","110 min","Indonesia","Soda Machine Films","A Normal Woman"
"2025-07-25","Comedy","Christopher McDonald, Maxwell Jacob Friedman, Travis Kelce, Eric André, Julie Bowen","114 min","United States of America","Happy Madison Productions, Happy Madison Productions","Happy Gilmore 2"
"2025-07-25","Science Fiction, Action, Horror","Tyler Galpin, Stanley White Jr., Brianna Hildebrand, Dawson Towery, Max Martini","105 min","United States of America","Roosevelt Film Lab, Denton Film, Burning Tractor, Roosevelt Film Lab","Osiris"
"2025-07-18","Animation, Action, Fantasy, Thriller","Natsuki Hanae, Toshihiko Seki, Reina Ueda, Kenichi Suzumura, Akira Ishida","125 min","Japan","ufotable, Aniplex, Shueisha","Demon Slayer: Kimetsu no Yaiba Infinity Castle"
"2025-07-23","Science Fiction, Adventure","Julia Garner, Natasha Lyonne, Jay Underwood, Paul Walter Hauser, Ralph Ineson","115 min","United States of America","Marvel Studios, Kevin Feige Productions","The Fantastic Four: First Steps"
"2025-07-21","Documentary","N/A","46 min","United Kingdom, United States of America","RAW, BBH entertainment","Trainwreck: P.I. Moms"
"2025-02-22","Documentary","Todd Boyd, Al Bernstein, Michael Bentt, Tim Witherspoon, Thomas Hauser","85 min","United States of America","Network Entertainment, The CW","I Am Joe Frazier"
"2025-07-19","TV Movie, Drama","Colin Moss, Max Botha, Thomas Farham, Chrissy Metz,","88 min","United States of America, Canada","Lighthouse Pictures, Wishing Floor Films, FilmAfrika, GroupM Motion Entertainment","Faith in the Flames: The Nichole Jolly Story"
"2018-06-22","Western, Drama, Comedy","Gabe Casdorph, David Zellner, Robert Forster, Mia Wasikowska, Joseph Billingiere","114 min","United States of America","Strophic Productions Limited","Damsel"
"2014-04-17","Family","Haley Ramm, Emily Bett Rickards, Spencer Boldman, Amber Hayes, Marin Hinkle","91 min","United States of America","N/A","Dakota's Summer"
"2025-04-07","Documentary","Marianne Martin, Luxia Chen, Betsy King, Laurent Fignon, Kelly-Ann Way","90 min","United States of America","Goldynaut Pictures, Waterbyrd Filmz","Breakaway Femmes"
"2025-07-21","Documentary","Berry Gordy, Smokey Robinson, Harry Belafonte, Dionne Warwick,","60 min","United States of America","MRC, Diamond Docs, Mass Appeal, sofa entertainment, MPS Legacy Productions, Media Rights Capital","Sunday Best: The Untold Story of Ed Sullivan"
"2024-11-21","Drama","Anna Ammirati, Niccolò Besio, Omar Benson Miller, Lynn Swanson, Denise McNee","124 min","Italy","Paco Cinematografica, Rai Cinema, Friuli Venezia Giulia Film Commission, RAI Cinema","Naples to New York"
"2025-04-11","Action, Comedy, Fantasy","Yoshiyuki Yamaguchi, Satoshi Kibe, Naoto Kuratomi, Hidenobu Abera, Mario Kuroba","104 min","Japan, United States of America","Rights Cube, Well Go USA Entertainment, MINY MIX CREATIVE","Ghost Killer"
"2025-04-04","Mystery, Thriller, Horror","Annie Pisapia, Ariella Mastroianni, Jarrett Austin Brown, Renee Gagner, Frank Huerta","114 min","United States of America","Telstar Films, MOONLAND.tv, 377 Films","Gazer"
"2025-02-21","Science Fiction, Romance, Drama","Beatrice Grannò, Henry Golding, Frank Feys, Carles Cuevas, Rocío Saiz","113 min","Belgium, Spain, United States of America, Finland","Sayaka Producciones, Wrong Men, Señor y Señora, XYZ Films, Mediacrest, Daniela Forever, IPR.VC, BNP Paribas Fortis, Sayaka Producciones Audiovisuales, Wrong Men North","Daniela Forever"
"2022-01-25","Drama, Thriller","Rachelle Sharp, Cartiss Brown, Ginette Jeane, J-One, Woody Deant","118 min","United States of America","Prominence Entertainment, Maverick Entertainment Group, WoodMa Entertainment, Maverick Entertainment Group","Cuzzo"
"2022-07-30","Comedy, Romance","David Watts,","102 min","United States of America","N/A","Cuffin Season"
"2025-02-14","Romance, Drama","Cihan Şimşek, Atakan Hoşgören, Burcu Kara, Tuana Naz Tiryaki, Rizacan durmus","112 min","Turkey","Poll Films","Aşk Sadece Bir An"
"2025-07-02","Drama, Science Fiction, Thriller","Michael Greyeyes, Myriam Côté, Haile Amare, Mike Chute, Craig Henry","113 min","Canada","Hungry Eyes Media, 4T Productions, Fela, Backhome, Hungry Eyes Film & Television","40 Acres"
"2024-02-14","Drama","Giovanni Moschella, Carmen Pommella, Fabiola Morabito, Alba Rohrwacher, Hafþór Júlíus Björnsson","119 min","Italy","Wildside, Rai Cinema, RAI Cinema","Finally Dawn"
"2025-07-20","Comedy, Animation","Halle Bailey, Karl Jacobs, Guy Fieri, Debra Wilson, Seth Green","23 min","United States of America","HBO Max, Discovery, Discovery Global Comedy, Discovery Channel, HBO Max","Robot Chicken: Self-Discovery Special"
"2024-03-18","Documentary","Bolorseteg Minjin, Jack Horner, Iacapo Briano, Yves-Bernard Debie, Nizar Ibrahim","98 min","Canada, Germany","Berlin Producers, Intuitive Pictures, Berlin Producers Media GmbH","The Bones"
"2015-03-04","Drama","Dana Ivgy, Jacob Daniel, Liron Ben-Shlush, Liat Goren,","90 min","Israel","N/A","Next to Her"
"2024-11-08","Drama, Thriller","Andria Tayeh, Celina Antwan, Nagham Abu Baker, Florentina Holzinger, Omar AlMajali","92 min","Austria","Ulrich Seidl Filmproduktion, Ulrich Seidl Film Produktion GmbH","Moon"
"2025-05-17","Drama, TV Movie","Georgia Small, Eoin Lynch, Alana Thompson, Luke Hanson, Vale Cooper","84 min","United States of America","Lifetime","I Was Honey Boo Boo"
"1999-04-16","Thriller, Comedy, Crime, Mystery","JoNell Kennedy, Dermot Mulroney, Ray McKinnon, John Prosky, Mary-Louise Parker","102 min","Germany, United States of America","Regency Enterprises, Lightmotive, Gotham Entertainment Group, Warner Bros. Pictures, Taurus Film","Goodbye Lover"
"2025-05-09","Comedy, Crime","Jessica-Jane Clement, Peter Andre, Bradley Turner, Jamie Lomas, Fredi 'Kruga' Nwaka","95 min","United Kingdom, Jamaica","Radioactive Pictures","Jafaican"
"2024-07-12","Documentary","Zak Moradi,","52 min","United States of America","N/A","HOME: The Story of Zak Moradi"
"2025-05-30","Documentary","Jake Williams,","86 min","Germany, Iceland, United Kingdom","Flaneur Films, Hopscotch Films, Akkeri Films, Urth Productions, Screen Scotland, Icelandic Film Centre, Medienboard Experimental Fund","Bogancloch"
"2025-07-29","Science Fiction, Thriller","Michael O'Neill, Jonathan Daniel Brown, Iman Benson, Eva Longoria, Nicole Pulliam","145 min","United States of America","Universal Pictures, Bazelevs Entertainment, Patrick Aiello Productions","War of the Worlds"
"2025-07-29","Documentary","N/A","60 min","United Kingdom","Magnificent Pictures","1000 Men and Me: The Bonnie Blue Story"
"2025-06-29","Action, Horror, Romance","N/A","91 min","United States of America","Church Hill Productions, Lux Angeles Studios","Night Carnage"
"2025-05-23","Drama, Music","Chloe Bailey, Olivia Colman, Woody Harrelson, Tosin Cole,","134 min","United Kingdom","Blueprint Pictures","Girl from the North Country"
"2024-09-20","Drama, Thriller","Ivo Uukkivi, Kristo Viiding, Nils Mattias Steinberg, Raimo Pass, Margo Teder","104 min","Estonia, Latvia, Germany","Allfilm, Ego Media, Heimathafen Film, Elisa","Lioness"
"2024-10-17","Family, Fantasy","Martina Gedeck, Hannah Herzsprung, Anton Noori, David Wurawa, Eugen Bauder","103 min","Austria, Germany, Italy","Blue Eyes Fiction, FilmVergnuegen, Dor Film, StudioCanal, WS Filmproduktion, Constantin Film, StudioCanal, Dor Film Produktionsgesellschaft GmbH","Woodwalkers"
"2025-05-28","Drama","Fiona Shaw, Elena Casablanca, Electra Sarri, Emma Mackey, Yann Gael","93 min","United Kingdom, Greece, Australia","Film4 Productions, Head Gear Films, Metrol Technology, Bonnie Productions, Never Sleep Pictures, Heretic, HanWay Films","Hot Milk"
"2025-07-29","Comedy","N/A","70 min","United States of America","N/A","Dusty Slay: Wet Heat"
"2024-01-17","Drama, Thriller","Philippe Frécon, Saabo Balde, Jonathan Couzinié, Marie Narbonne, Florence Loiret Caille","92 min","France","Blue Monday Productions, Le Bureau, Auvergne-Rhône-Alpes Cinéma, Auvergne Rhône-Alpes Cinéma","Cool Headed"
"2025-05-30","Fantasy, Comedy, Science Fiction","Danny Trejo, Nicole Merat, Samuel Dunning, Alex Wolfe, Tyson Scott Beckett","110 min","United States of America","NXNW, Guerrilla Rep Media, OneTwoThree Media, Immortal LLC","Tim Travers & the Time Travelers Paradox"
"2025-01-09","Horror, Thriller","Kevin Ardilova, Alexzander Wlan, Ali Fikry, Satrio Towel, Satria Bintang","96 min","Indonesia","im-a-gin-e, MVP Pictures, Anami Films, Ten Cuts, Tobali Putra Production, A&Z Films","Sleep Paralysis"
"2025-07-26","TV Movie, Drama","Tahmoh Penikett, Jaeda Lily Miller, Alexa PenaVega,","88 min","United States of America","Studio TF1 America, PF Maple Productions","Before Your Father Finds Us"
"2025-07-24","Horror, Mystery, Thriller","Pete Davidson, Ethan Phillips, Nathalie Schmidt, John Glover, Jagger Nelson","95 min","United States of America","Miramax, Man in a Tree Productions, BlockFilm, Man in A Tree","The Home"
"2025-03-27","Drama, Fantasy","Giorgio Montanini, Valerio Mastandrea, Justin Korovkin, Barbara Ronchi, Laura Morante","93 min","Italy","HT Film, Damocle, Tenderstories, Rai Cinema, H.T. Film, RAI Cinema","Feeling Better"
"2024-08-31","Drama","Zsolt Dér, Zsuzsanna Konrád, Erika Nádasy, Edit Vlahovics, Molnár Erika","86 min","Hungary","N/A","January 2"
"2024-04-20","Drama, History, Thriller","Nicoleta Lefter, Ana Ciontea, Puiu-Mircea Lăscuș, Iulian Postelnicu, Bodgan Farcas","125 min","Romania, Switzerland","Mandragora Film (RO)","Holy Week"
"2023-01-12","Horror, Drama","Ajil Ditto, Joshua Pandelaki, Ami Asrizal Tankot, Dewi Yull, Alif Joerg","92 min","Indonesia","Pichouse Films, MD Pictures, Clock Work Films","Hidayah"
"2025-02-27","Drama","Jasmin Mattei, Doris Schefer, Jürg Plüss, Oliver Baer, Andreas Beutler","91 min","Switzerland, Germany","Zodiac Pictures, SRF, SRG SSR, MMC Zodiac, SSR SRG Idée Suisse","Late Shift"
"2025-04-25","Action, Drama","Kull Sidhu, Hobby Dhaliwal, Dheeraj Kumar, Sippy Gill,","127 min","India","Geet MP3","Gangland: The City of Crime"
"2025-02-13","Drama","Reinout Scholten van Aschat, Kaija Ledergerber, David Urankar, Julien Genoud, Gijs Scholten van Aschat","100 min","Netherlands, Slovenia, Switzerland","BALDR, Lomotion, Staragara, VPRO, SRF, Blue Entertainment, VPRO Television","Alpha."
"2025-07-26","Documentary","Justin Baldoni, Blake Lively,","52 min","United States of America","HBO Max, HBO Max","Lively vs Baldoni: The Hollywood Feud"
"2025-06-27","Thriller, Crime","Ajith Koshy, Ajay Dhisan, Rahul Thatha, Deepshika Umapathy, Vijay Antony","132 min","India","Vijay Antony Film Corporation","Maargan"
"2025-05-30","Comedy, Romance","Sargun Mehta Dubey, Nimrat Khaira, Ammy Virk,","142 min","India","Dreamiyata Entertainment PVT LTD, Naad SStudios","Saunkan Saunkanay 2"
"2025-07-25","Drama, Thriller","Jitendra Joshi, Tara Sharma, Ibrahim Ali Khan, Priyansh Jora, Anurag Arora","137 min","India","Dharma Productions, Star Studios, Star Studios","Sarzameen"
"2025-07-24","Drama, TV Movie","Anna Friel, Mark Womack, Austin Haynes, Anna Maxwell Martin, Annette Ekblom","103 min","United Kingdom","LA Productions, BBC, British Broadcasting Corporation","Unforgivable"
"2025-06-13","Horror, Thriller, Mystery","Kathleen Munroe, Kristen Holden-Ried, Aidan Kalechstein, Asher Grayson, Dylan Taylor","97 min","Canada","Wild Media Entertainment, 2ofaMind Productions, Wild Media Entertainment","The Dogs"
"2025-07-25","Comedy, Romance","Molly Gordon, Logan Lerman, Geraldine Viswanathan, Sabina Friedman-Seitz, David Cross","94 min","United States of America","QWGmire, Watermark Media, Cliffbrook Films, AmorFortuna, Bespoke Production Capital, No Comp Films","Oh, Hi!"
"2025-07-30","Horror","Sarah Lang, Alison Brie, Flynn Wandin, Damon Herriman, Francesca Waters","102 min","United States of America, Australia","PictureStart, Tango Entertainment, 30WEST, Princess Pictures, 1.21 Entertainment, Tango Entertainment","Together"
"2024-01-19","Drama, History","Velislav Pavlov, Matei Michev, Stanislav Peev, Evelina Bibova, Svezhen Mladenov","100 min","Bulgaria","Miramar Film","Plague"
"2025-07-31","Romance, Comedy, Drama","Corey Mylchreest, Harry Trevaldwyn, Barney Harris, Catherine McCormack, Nikhil Parmar","112 min","United States of America","Temple Hill Entertainment","My Oxford Year"
"2025-08-01","Action, Comedy","Method Man, Terrance Hodges, Steven Shelby, La La Anthony, Orlando Jones","92 min","United States of America","Samuel Goldwyn Films, Buffalo 8","Trouble Man!"
"2024-08-29","Horror, Thriller","Tiffany Hannam-Daniels, Louis James, Sarah Alexandra Marks, David Wayman, Joseph Millson","86 min","Denmark, United Kingdom, Thailand","REinvent Studios, Latitude Films","El Rio De La Muerte"
"2025-02-27","Drama, Comedy","Nicole Whippy, Beulah Koale, Amelia Stace, Anapela Polataivao, Quillan Denton","124 min","New Zealand","New Zealand Film Commission, NZ on Air","Tinā"
"2021-11-18","Documentary, Adventure","N/A","82 min","United States of America","N/A","Nostromo"
"2025-04-01","Documentary","Tzeli Hadjidimitriou,","77 min","Greece","N/A","Lesvia"
"2022-12-06","Drama","Reynada Robinson, Reece Odum, Jeremiah Clarke, Gin Blanton,","111 min","United States of America","N/A","Just Between Us Girls"
"2025-06-13","Crime, Action","Srilekha, Delhi Ganesh, Boxer Dheena, Nancy, Aranthangi Nisha","131 min","India","OPRP Productions","Guts"
"2025-07-30","Comedy, Crime","CCH Pounder, ""Weird Al"" Yankovic, Pamela Anderson, Dave Bautista, Liam Neeson","85 min","United States of America","Fuzzy Door Productions, Paramount Pictures, Domain Entertainment, Paramount, Domain Entertainment","The Naked Gun"
"2025-07-30","Horror, Fantasy, Drama, Romance","Ivan Franěk, Jassem Mougari, Egor Morozov, Haymon Maria Buttinger, Salomon Passariello","129 min","France","EuropaCorp, Luc Besson Production, TF1 Films Production, SND, Kinology, Actarus Productions","Dracula"
"2025-01-29","Animation, Fantasy, Adventure, Action","Joseph, Yanting Lv, Deshun Wang, Hao Chen, Yang Wei","144 min","China","Chengdu Coco Cartoon, Beijing Enlight Pictures, Chengdu Enlight Animation, Coloroom Pictures","Ne Zha 2"
"2025-01-25","Comedy","Sam Breton, Félix Moati, Fabien Cloutier, Karine Gonthier-Hyndman, Jay Du Temple","100 min","Canada","Amérique Film","Two Women"
"2024-01-25","Drama, Fantasy","Aaron Vodovoz, Pavel Vorozhtsov, Dmitriy Lysenkov, Valeriy Kukhareshin, Paulina Vrublevska","157 min","Russia","Mars Media Entertainment, AMedia, Profit, AMedia, Профит","The Master and Margarita"
"2020-09-24","Romance, Comedy","Ondřej Vetchý, Marek Taclík, Jiří Langmajer, Oskar Hes, Rostislav Novák","94 min","Czech Republic","N/A","Sweethearts"
"2025-06-03","Documentary, Crime","N/A","90 min","United Kingdom","Yeti Television","Surviving the Tunisia Beach Attack"
"2025-05-08","Crime, Drama, Thriller","Graham Greene, Brett Swab, Sam Quartin, Gwen Olson, Nikki Donley","130 min","United States of America","Roxwell Films","King Ivory"
"2025-06-06","Comedy, Family","Tommy Davidson, Randy Couture, Jennifer Esposito, Lily Tricano, Erin Cline","92 min","United States of America","Swen Studios, In The Dark Entertainment, Premiere Entertainment Group","F+"
"2022-04-15","Drama, Family","Domantas Starkauskas, Toma Vaškevičiūtė, Gabija Jaraminaitė Ryškuvienė, Vilne Konstancija, Eglė Jackaitė","108 min","Lithuania","Fralita Films","A Butterfly's Heart"
"2025-07-18","Romance, Fantasy, Drama","Helena Bonham Carter, Ferdia Walsh-Peelo, Pierce Brosnan, Dónal Finn, Fionn O'Shea","110 min","Ireland, United Kingdom","Genesius Pictures, AX1 Films, London Town Films, WRAP Fund, Cornerstone Films","Four Letters of Love"
"2025-07-31","Drama","Simon Lööf, Peter Andersson, Willy Ramnek Petri, Nora Rios, Nathalie Merchant","122 min","Sweden","FLX","An Honest Life"
"2025-04-30","Horror","Jodi Sta. Maria, Lianne Valentino, Juan Karlos Labajo, Kaori Oinuma, Gloria Diaz","107 min","Philippines","Regal Entertainment","Untold"
"2025-06-03","Drama","Ifeoma Fafunwa, Bimbo Manuel, Durotimi Okutagidi Adebule, Onuoha Aderonke, Baaj Adebule","128 min","Nigeria","N/A","The Lost Days"
"2024-12-25","Romance, Drama","Marte Engebrigtsen, Marian Saastad Ottesen, Tayo Cittadella Jacobsen, Lars Jacob Holm, Svein Tindberg","120 min","Norway","ArtHaus, Novemberfilm, Motlys, Viaplay Group, Viaplay (NO)","Love"
"2025-03-31","Drama, Romance","Pevita Pearce, Rhesa Putri, Ayu Laksmi, Aurora Ribero, Adzando Davema","107 min","Indonesia","Starvision Plus","Komang"
"2024-08-23","Romance, Thriller","Aida Folch, Anthi Andreopoulou, Juan Pablo Urrego, Christos Alpidis, Vassilis Fortounas","128 min","Spain","Fernando Trueba PC, Atlántida Films, Caracol Televisión, Fernando Trueba Producciones Cinematográficas","Haunted Heart"
"2025-07-11","Horror, Thriller","Alex Cooke, Samira Mighty, Tom Mulheron, Nicola Wright, Russell Geoffrey Banks","81 min","United Kingdom","Jagged Edge Productions","Bambi: The Reckoning"
"2025-05-07","Drama","N/A","99 min","South Korea","The LAMP","Virus"
"2025-03-24","Drama","Urtė Kretkovskytė, Eva Vaitulionytė, Gabrielė Petrauskaitė, Genadijus Babincevas - Henry Match, Vilma Raubaitė","99 min","Lithuania","Akis Bado","Toxic"
"2024-06-13","Comedy, Documentary","Anna Faris, Martin Sheen, Patrick Rush, Nell Carter, John Paschal","96 min","United States of America","World of Wonder, Gatekeeper Productions","The Little Pageant That Could"
"2024-06-20","Documentary","Richard Pursel, Helen Parkes, Ann Magnuson, Peter Tomlinson, Susan Tyrrell","82 min","Austria","sixpackfilm","The Life of Sean DeLear"
"2025-07-21","Documentary, Comedy","Mark Humphries,","48 min","Australia","N/A","Sold! Who Broke the Australian Dream?"
"2024-05-19","Drama","Agur Seim, Karep Rutov, Rasmus Kaljujärv, Liina Prii, Marin Mägi-Efert","13 min","Estonia","Stellar Film","Sauna Day"
"2025-05-14","Drama","Ha Seong-guk, Cho Yun-hee, Kang So-yi, Kwon Hae-hyo, Park Mi-so","109 min","South Korea","Jeonwonsa Film","What Does That Nature Say to You"
"2024-05-02","Drama","Angeliki Papoulia, Ísold Halldórudóttir, Hannah Schutsch, Stavros Zafeiris, Maj-Britt Klenke","134 min","Germany","2Pilots Filmproduction, Soquiet Filmproduktion","Touched"
"2008-12-08","Drama","Pavel Liška, Hendrik Toompere Jr., Vitali Bobrov, Jorma Tommila, Allan Bernard","105 min","Estonia, Finland, Germany, United Kingdom","BlueLight, Exitfilm, Helsinki-filmi, Propeller Film, Helsinki Filmi","The Visitor"
"2024-04-05","Documentary","N/A","99 min","Finland, France, Japan, United States of America","YLE, NHK, Point du jour, Cineric Creative, Pystymetsä, Yleisradio (YLE)","The Making of a Japanese"
"2025-05-26","Action","Eloise Lovell Anderson, Daniel Bernhardt, Alix Villaret, Rade Šerbedžija, Shaina West","98 min","United States of America","Steven Paul Production","The Last GunFight"
"2025-09-19","Drama, Romance, Crime","Tom Blyth, Gabe Fazio, Luke Burke, Maria Dizzia, Alessandra Ford Balazs","96 min","United Kingdom, United States of America","Lorton Entertainment, Page 1, Mini Productions","Plainclothes"
"2024-06-13","Romance, Comedy, Drama","Juliana Gerais, Sidney Santiago, Michel Joelsas, Pablo Escajedo, Charly Braun","99 min","Brazil","Claraluz Filmes, Lacuna Filmes, Canal Brasil, Telecine, Fundo Setorial do Audiovisual, Agência Nacional do Cinema - ANCINE, Banco Regional de Desenvolvimento do Extremo Sul, Secretaria de Cultura e Economia Criativa do Estado de São Paulo, Ancine","Perfect Endings"
"2023-02-22","Drama","Leonard Scheicher, Ludger Bökelmann, Tilo Werner, Girley Jazama, Michael del Coco","116 min","Germany, Namibia","Zero One Film, StudioCanal, ZDF, Akzente Film & Fernsehproduktion GmbH, WunderWerk, Joe Vision Production, StudioCanal, Akzente Film und Fernsehproduktions","Measures of Men"
